block,bin,mining_area,pit_name,bench_rl,tonnes_wt,pot_ore_wt,pot_ore_dt,hg_l_wt,hg_l_dt,hg_l_fe,hg_f_wt,hg_f_dt,hg_f_fe,lg_l_wt,lg_l_dt,lg_l_fe,lg_f_wt,lg_f_dt,lg_f_fe
1,10,Tata,msst1,1190,0.070040995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,Tata,msst1,1180,0.178186158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,68,Tata,msst1,1180,0.001045699,0.001045699,0.0009725,0.00038362,0.000362521,59.37424039,0.00067401,0.000609979,57.45143185,0.000316882,0.000297869,61.15980725,0.000374389,0.000329462,106.3677066
4,10,Tata,msst1,1170,0.477503373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,60,Tata,msst1,1170,0.049899196,0.049899196,0.046406252,0.020867446,0.019719737,59.35218106,0.029487862,0.026686515,57.32982077,0.018957755,0.01782029,60.5202469,0.019698113,0.01733434,88.26024861
6,68,Tata,msst1,1170,0.05438236,0.05438236,0.051613753,0.023243061,0.022188169,61.05746115,0.031846204,0.029425584,59.55533003,0.021554686,0.020261405,61.95905152,0.022443635,0.019750399,88.7298722
7,10,Tata,msst1,1160,0.64151816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,30,Tata,msst1,1160,0.006003272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,59,Tata,msst1,1160,0.03792026,0.03792026,0.035341251,0.015366153,0.014545785,57.91595973,0.022888636,0.020795466,54.55471543,0.013815704,0.013003924,59.43386213,0.01457725,0.012850545,88.28347067
10,60,Tata,msst1,1160,0.215508762,0.215508762,0.200796886,0.090535748,0.085637096,59.65368845,0.127008644,0.115159789,57.7229527,0.0825129,0.077562126,60.77457824,0.085645833,0.075368333,88.19835578
11,65,Tata,msst1,1160,0.018673043,0.018673043,0.017893125,0.007486362,0.007200506,62.24643772,0.011380555,0.01069262,59.93970006,0.006988034,0.006606872,63.08469474,0.008180434,0.007257955,88.30481559
